foresight_mode,lam,subsidies,carrier,node,year,shadow_price
rolling_horizon,0.0,none,electricity,CH,0,0.0720684561873305
rolling_horizon,0.0,none,electricity,DE,0,0.065374355267854
rolling_horizon,0.0,none,electricity,IT,0,0.0635255460861463
rolling_horizon,0.0,none,heat,CH,0,0.0580835663302511
rolling_horizon,0.0,none,heat,DE,0,0.0581790637316842
rolling_horizon,0.0,none,heat,IT,0,0.0409440205106206
rolling_horizon,0.0,none,natural_gas,CH,0,0.0407393004069756
rolling_horizon,0.0,none,natural_gas,DE,0,0.0407393004071721
rolling_horizon,0.0,none,natural_gas,IT,0,0.0407393004071566
rolling_horizon,0.0,none,electricity,CH,1,0.0607023552860687
rolling_horizon,0.0,none,electricity,DE,1,0.0562542504597402
rolling_horizon,0.0,none,electricity,IT,1,0.0522726472385929
rolling_horizon,0.0,none,heat,CH,1,0.0531411124680155
rolling_horizon,0.0,none,heat,DE,1,0.0550800145562042
rolling_horizon,0.0,none,heat,IT,1,0.062722492459358
rolling_horizon,0.0,none,natural_gas,CH,1,0.0325284954709444
rolling_horizon,0.0,none,natural_gas,DE,1,0.032528495470945
rolling_horizon,0.0,none,natural_gas,IT,1,0.0325284954709449
rolling_horizon,0.0,none,electricity,CH,2,0.0608222100225837
rolling_horizon,0.0,none,electricity,DE,2,0.0586552898339956
rolling_horizon,0.0,none,electricity,IT,2,0.0580342735942769
rolling_horizon,0.0,none,heat,CH,2,0.0527536751695398
rolling_horizon,0.0,none,heat,DE,2,0.0540198605957842
rolling_horizon,0.0,none,heat,IT,2,0.0592463880619683
rolling_horizon,0.0,none,natural_gas,CH,2,0.0338123895256576
rolling_horizon,0.0,none,natural_gas,DE,2,0.0338123895256576
rolling_horizon,0.0,none,natural_gas,IT,2,0.0338123895256576
rolling_horizon,0.0,none,electricity,CH,3,0.0704520841589496
rolling_horizon,0.0,none,electricity,DE,3,0.0663094757297501
rolling_horizon,0.0,none,electricity,IT,3,0.0679869872127147
rolling_horizon,0.0,none,heat,CH,3,0.0420185465183549
rolling_horizon,0.0,none,heat,DE,3,0.0437731411187575
